left_elbow_angle,right_elbow_angle,left_knee_angle,right_knee_angle,left_hip_angle,right_hip_angle,shoulder_angle,hip_angle,pose,frame
164.2653531804642,173.21689402798032,165.90521170879592,170.82813831671066,169.46716461397895,164.6175331156779,135.0164088861702,62.64559769649297,Bhujangasana,frame_0000.jpg
158.17913652422283,169.0540450498831,167.85443103686384,173.21351802592432,168.95551962273808,164.8042305828818,136.51162322683754,59.01509191947168,Bhujangasana,frame_0001.jpg
148.79370474187425,176.14803678472364,167.30006592516276,170.9227476177823,171.54800295960962,167.02126906064188,143.0024506103559,55.78951059403492,Bhujangasana,frame_0002.jpg
177.89097434084184,176.60678396815223,166.15521945054613,167.95988260409808,171.28961613240526,165.33827113028764,151.83397421672598,56.39296352833417,Bhujangasana,frame_0003.jpg
145.21108046664773,179.45577915433776,164.63831515046843,166.65892134352228,170.44737981086033,164.52748747256308,149.36580025829244,57.34130532101147,Bhujangasana,frame_0004.jpg
151.53473434215977,96.74337580484591,164.1175960396744,166.3339418065527,165.57420111609596,161.82960514467527,114.04700724714252,68.92907411936542,Bhujangasana,frame_0005.jpg
104.96618356243611,35.39666602678984,165.2625633144548,167.3301973990656,174.06519610200155,172.54010942561385,97.9530158338236,79.69969089781912,Bhujangasana,frame_0006.jpg
135.77146240417304,91.21637186354917,176.0944192957086,171.50594374455673,177.00874875870926,174.25246406601494,113.74485373503533,73.93128671741809,Bhujangasana,frame_0007.jpg
128.09372797414326,125.44122859338047,169.3246148506761,163.58373359230808,169.0152689758359,179.01843740501275,27.327700818610463,126.95156000313737,Bhujangasana,frame_0008.jpg
152.3946078568098,145.99525798038744,167.55913017945338,160.13062343413858,158.27887550814881,173.00500463904334,13.90354960732376,129.34505944107747,Bhujangasana,frame_0009.jpg
174.9189206349917,159.51843652188893,161.56932788187353,149.23344386948563,138.85766700941608,156.91961538217657,54.86567836962077,166.2070083896305,Bhujangasana,frame_0010.jpg
